AGE5P - Age in Five Year Groups,0-4 years,5-9 years,10-14 years,15-19 years,20-24 years,25-29 years,30-34 years,35-39 years,40-44 years,45-49 years,50-54 years,55-59 years,60-64 years,65-69 years,70-74 years,75-79 years,80-84 years,85-89 years,90-94 years,95-99 years,100 years and over
Adelaide,9761,9178,8226,10379,17511,16760,15961,12706,11645,11514,10776,10509,9219,8037,5586,4602,3661,2982,1511,379,39
Aston,9027,9072,8995,9907,10213,9927,10403,10283,10459,11026,11031,10507,9404,8068,5623,4222,2907,1929,895,244,25
Ballarat,9317,9830,9140,9362,9801,8961,8781,8860,9512,9905,10026,9742,9259,8761,6442,4514,3221,2131,990,227,33
Banks,9444,9250,8722,9422,10688,11555,11461,10286,10387,10195,10602,10141,8551,7236,5457,4481,3668,2636,1311,285,29
Barker,9219,10472,10390,9891,8304,8534,8978,9037,10178,11550,11836,12041,11572,11003,8170,5945,4121,2737,1208,303,32
Barton,10307,9145,8112,9044,13661,18197,16774,12999,11684,10762,10294,9141,8050,6931,5375,4636,3752,2499,1187,288,17
Bass,5681,6356,6040,6581,6866,5786,5805,5551,6193,6903,6908,7173,6725,6400,4981,3509,2369,1607,707,149,14
Bean,9041,8980,8143,8589,8175,8809,9651,9287,9558,9600,9623,9051,7795,6927,4933,3284,2101,1280,506,92,4
Bendigo,8911,9384,8907,8977,9001,8299,8317,8353,9181,9628,9844,10066,9602,8968,6566,4907,3388,2362,1069,248,45
Bennelong,10216,9709,8479,9619,13513,14286,14382,12875,11552,10754,10823,9819,8701,7145,5074,4301,3473,2654,1253,296,23
Berowra,7745,10055,10200,10565,8899,6182,6545,8512,10666,11109,11018,10278,8708,7806,5974,4294,2938,2148,1159,317,20
Blair,12471,12671,11449,10852,10925,11259,11721,10222,10624,10611,10277,9704,8383,7335,5353,3868,2432,1483,600,156,21
Blaxland,13426,12317,11142,11310,14141,16141,14346,11788,10659,10339,10252,9710,7965,6575,4774,3672,2805,2015,997,240,18
Bonner,9356,10032,9501,9857,9962,9152,10395,10412,11358,10966,10110,8879,7637,6789,5177,3949,2926,2007,898,231,24
Boothby,8700,8751,8282,9483,11302,10785,10859,10329,10550,10674,10709,10935,10169,9586,7373,5637,4721,3763,2123,490,62
Bowman,8105,9688,9818,9730,8194,7394,8368,8456,10002,10469,10724,10427,9442,8797,6560,4515,3040,2101,918,223,37
Braddon,5706,6425,6187,6316,5445,5268,5322,5358,6086,6981,7432,7682,7235,6973,5345,3948,2723,1554,689,142,8
Bradfield,9025,11436,11416,11444,9071,7643,9293,10709,11663,12283,11360,9549,8055,7392,6025,4867,3895,3040,1619,430,26
Brand,12804,12806,10980,10507,11387,12545,13259,11536,11621,11416,10431,8625,7101,6192,4826,3550,2400,1398,485,145,4
Brisbane,7587,7119,6596,8349,17741,20535,17426,12647,11320,10931,9385,8046,6607,5343,3644,2486,1708,1353,685,156,17
Bruce,11748,10473,9815,10917,13817,14698,14941,12164,11285,10957,11028,10889,9841,8444,6023,4604,3428,2005,860,196,25
Burt,13441,12459,10908,10903,11637,13299,14799,13213,11645,11037,10282,8798,8064,6706,4419,3255,2074,1224,482,127,6
Calare,10497,11113,10420,10359,9331,9448,9401,8977,9987,10561,10704,10829,9775,9633,7542,5302,3799,2351,991,245,36
Calwell,13251,12326,11283,11578,12129,13254,13350,11956,10702,10877,10257,8423,6909,5806,4166,2845,1844,938,327,65,19
Canberra,6172,6403,5978,8136,13249,12242,10483,8684,7968,8133,7647,7078,6159,5580,4162,3274,2464,1787,1005,224,29
Canning,9135,9838,9150,8883,8056,8165,8811,8359,9243,9866,9891,9346,9004,9189,7136,5523,3456,1993,792,179,16
Capricornia,10365,10915,10216,9883,9223,9978,10593,9730,10046,10390,10670,10191,8610,7167,5226,3815,2727,1637,681,165,24
Casey,9118,9756,9544,9770,8932,8811,9088,9284,10512,10914,10775,10456,9228,8397,6006,3876,2442,1640,676,157,16
Chifley,13603,13525,12094,12551,12581,12499,13581,12280,11239,10790,10330,9522,7993,6851,4602,3137,2091,1214,643,119,5
Chisholm,8551,9554,9738,11485,14827,12674,11178,10388,11312,11880,10733,9699,8179,7383,6296,5878,4796,3537,1572,317,32
Clark,5390,5831,5610,6245,7703,7604,6872,6162,6577,6758,6800,6989,6246,5496,4128,3121,2344,1658,742,136,19
Cook,8253,8467,8165,7904,7668,8368,8802,8958,9941,9929,9380,9068,7934,7289,5924,4641,3804,2982,1286,303,18
Cooper,9604,8458,7198,7446,12068,15313,15379,12871,11995,11297,9398,8267,6611,5597,4544,4393,3751,2498,962,202,4
Corangamite,8355,8994,8507,8018,7300,6699,7807,8092,9054,8796,8537,8861,9010,8853,6664,4386,3165,2197,997,249,37
Corio,9046,8824,8599,9282,10295,10182,9782,8984,9807,9851,9843,9463,8567,7839,5805,4718,3452,2464,1203,270,32
Cowan,10598,10744,9992,10285,9725,10000,11372,10798,10612,10595,9655,8610,7136,6308,4256,3033,1963,1204,518,122,13
Cowper,8178,9726,9486,9129,7222,7382,7494,7583,9109,9764,10845,12083,11824,11953,9566,7260,5108,3504,1675,375,36
Cunningham,8899,9413,8836,9885,12688,10577,9683,9468,10341,9953,10242,9837,8564,7718,6173,4983,3917,2690,1239,253,25
Curtin,7402,8567,9087,9048,9932,10983,10473,9281,9464,9968,9100,8496,7663,6774,5502,4297,3226,2268,1195,329,27
Dawson,9534,10409,10003,9444,9687,10404,10449,9754,10516,11017,11084,10480,8973,7528,5484,3919,2634,1674,656,158,19
Deakin,9990,9575,8818,9018,8913,9668,11311,10870,11112,10686,9926,9115,8352,7702,6271,4673,3540,2347,1095,281,34
Dickson,10127,11605,11037,10392,9184,8502,9588,10349,11757,11772,10475,9468,7979,7492,5068,3023,1748,1165,497,148,15
Dobell,9409,10404,10138,9746,8923,8317,8859,8913,9798,10184,9984,9899,9181,8839,7068,5534,4063,3016,1418,343,37
Dunkley,9958,9788,9090,9370,9274,9321,10135,9992,10842,11251,10507,9867,8485,7805,5976,4284,3023,2012,878,246,35
Durack,13213,13316,11058,9295,10185,14815,16166,14041,13731,13493,13063,11818,9387,6909,4658,3033,1939,1093,416,118,19
Eden-Monaro,8180,9298,9151,8590,7100,7558,8177,8143,9739,10904,11073,11432,10533,9660,6804,4784,3180,2060,930,200,25
Fadden,10459,10797,9922,10246,10690,10375,10624,10623,11444,11541,10788,9898,8834,8958,7141,4833,3026,1898,869,236,19
Fairfax,8156,9700,9424,8580,7656,7594,8469,8728,10213,10596,10442,10079,9493,9161,7063,5017,3534,2227,1053,267,33
Farrer,10129,10681,10579,10147,9017,9139,9193,8720,9756,10368,10825,11611,10770,10124,7897,6200,4393,2844,1216,323,39
Fenner,11681,10172,8251,7859,10000,11461,13544,12293,10792,8960,7290,6371,5317,4909,3177,2043,1315,762,382,106,13
Fisher,7482,9151,9328,9056,7623,7248,7856,8268,9786,10089,9829,9781,9204,9658,7910,5704,4047,2660,1124,303,36
Flinders,7087,8137,7823,7651,6607,6154,6404,6949,8764,9368,9013,9273,9431,10212,8671,6557,4506,2986,1274,356,30
Flynn,11282,12048,10967,9223,8659,9787,10805,9871,10652,11089,11417,10592,8815,7515,5435,3638,1999,1154,411,114,13
Forde,12646,13042,11493,11354,11144,11467,11864,11386,11628,11056,9918,9368,8116,7759,5362,3596,2207,1384,588,141,17
Forrest,9578,10613,10251,9157,6748,7936,9263,9550,10334,10594,10010,9972,9183,8609,6073,4314,2832,1777,784,168,11
Fowler,10546,10365,10413,11192,12634,12141,11620,10517,10567,10941,11063,11000,9227,7412,4940,3885,2816,1949,790,192,17
Franklin,5883,6410,6103,5776,4834,5000,5850,5833,6376,6785,6709,7324,6745,6500,4735,3521,2338,1469,677,158,18
Fraser,10385,9634,9513,10813,13841,13982,13025,11034,10891,11175,10751,10475,9218,7899,5578,4075,2971,1729,718,93,5
Fremantle,9968,9494,8309,8461,9128,11056,12368,11577,11056,10895,9824,8965,7701,6565,4585,3570,2682,1670,695,174,12
Gellibrand,13133,11582,8741,8309,9930,12835,15455,14924,13681,12217,10269,8899,7055,5760,4108,3297,2669,1852,736,214,20
Gilmore,7410,8375,8448,8050,6725,6452,6846,6953,8249,8805,10029,11699,12242,12752,10130,7377,4993,3294,1278,300,24
Gippsland,8142,8753,8397,8210,7628,7751,8079,7598,8191,9096,9961,10770,10647,10529,7755,5657,3754,2369,1011,242,34
Goldstein,7881,9794,10088,9195,8092,7166,7855,8558,10967,12373,10990,9943,8395,7760,5857,4260,3318,2963,1683,416,60
Gorton,14489,14392,12001,10801,10758,12284,14508,14557,13524,11218,9359,8147,7499,6203,3745,2301,1384,772,285,84,8
Grayndler,9089,8035,6187,5328,10131,14844,15337,13733,12915,11185,9728,8091,7044,5900,4199,3023,2355,1533,674,176,12
Greenway,13734,13570,11263,10827,10297,11920,15037,15529,13466,11193,9988,8783,7614,6283,4114,2835,1905,1177,437,92,9
Grey,9799,10530,10361,9363,8460,9233,9383,8804,9970,11587,12371,12851,12027,11099,8852,6055,4027,2651,1134,279,35
Griffith,8366,7948,7625,8017,13942,16506,15499,12308,11479,10375,8800,7673,6147,4888,3331,2480,1915,1501,736,169,18
Groom,9702,10596,10181,10071,9698,9490,9319,8555,9251,9678,9174,9352,8290,7793,6166,4596,3444,2235,1004,244,25
Hasluck,8913,9259,8915,9290,9031,9282,10128,9552,9946,10338,9892,9096,8125,7665,5365,3870,2635,1533,613,169,8
Herbert,11334,11187,10334,11405,13877,12565,11941,10345,10703,10606,9872,9350,7732,6799,4588,3287,2097,1348,503,133,12
Higgins,7772,8046,7493,7923,13849,17061,15119,11473,10522,10496,9417,8544,7444,6836,5229,4339,3086,2242,1138,285,35
Hindmarsh,8509,8348,7936,9193,9960,10595,10932,10044,10275,11413,11376,11240,9669,9059,6749,5562,4491,3315,1758,338,19
Hinkler,7286,8798,8726,8217,6663,6702,6812,6966,8110,8636,9344,10026,10467,11525,9598,6940,4439,2545,1039,238,28
Holt,14789,13926,11861,11298,11324,11896,14761,13734,12418,11180,9661,8399,6502,5143,3704,2413,1540,941,378,115,18
Hotham,9906,9640,8679,11058,16929,14174,13376,11632,11490,11509,10053,9079,8250,7832,6617,5631,4447,3032,1335,307,34
Hughes,9870,10392,9663,9320,8794,8244,9112,9939,10886,10327,9847,9259,7912,6919,5286,3352,2345,1743,838,225,22
Hume,10093,10839,10530,9926,8639,8738,9304,9202,10565,10509,10250,9633,8855,8201,5931,4033,2698,1688,790,202,21
Hunter,10247,10438,9977,9816,9191,9302,9708,9176,9964,10210,10161,10402,9594,9112,7056,4868,3681,2453,1132,282,12
Indi,7923,9016,8835,8509,6953,6941,7374,7651,8842,9588,10290,10978,10708,10204,7637,5323,3657,2503,1143,281,42
Isaacs,9529,9737,8668,8423,8622,9063,10412,11218,11776,11482,9932,9076,7923,7038,5451,4263,3388,2587,1191,266,36
Jagajaga,9076,9194,8357,8674,9038,9214,9577,9951,10557,10250,9800,9471,8248,7642,5663,4073,3070,2217,1091,217,19
Kennedy,10684,11881,11636,10133,8994,9810,9830,9297,10513,11114,11404,11511,10344,9389,7026,4947,3130,1828,704,151,28
Kingsford Smith,9753,9097,7813,10318,18262,17532,16112,13843,12381,11115,10224,8764,7659,6795,5480,4320,3242,2319,966,222,13
Kingston,9695,10115,9497,9883,9852,9715,10708,10202,10436,10734,10654,10770,10060,9480,6403,4278,3049,2041,900,221,18
Kooyong,6974,8913,9966,11079,12601,11684,9712,8997,9942,11196,10783,9467,8164,7449,5670,4205,3403,2685,1497,390,44
La Trobe,11860,11595,10694,10532,9586,9524,11121,10752,11203,11027,9519,8109,6600,5710,4214,2995,1917,1290,553,145,13
Lalor,16851,14435,11199,10303,11146,14512,18940,15860,12239,10547,9512,8311,6908,5572,3553,2412,1513,877,397,74,13
Leichhardt,11122,12060,11166,10175,10020,11449,11678,11540,12363,12265,12075,11144,9625,7962,5412,3332,2083,1289,553,136,14
Lilley,9400,8993,8125,8017,10441,11951,12745,11055,11128,10277,9258,8507,7444,6385,5085,4166,3292,2443,1164,280,44
Lindsay,12554,12078,10697,10846,11810,12859,13231,12051,11583,10673,9930,9650,8440,7548,4967,3334,2166,1313,633,150,9
Lingiari,9409,9548,8714,8125,9189,10567,10445,8935,8528,8734,8046,6872,5424,3608,2099,1122,577,297,86,23,3
Longman,10411,11673,10853,10551,10038,9739,9748,9453,10452,10712,10230,9800,9554,9506,7403,4806,2870,1842,757,182,15
Lyne,6885,8451,8603,8213,5700,5416,5693,6241,7940,9076,10144,11217,11755,12664,10368,7375,4920,3204,1255,323,33
Lyons,5785,6472,6278,6061,4931,4898,5372,5349,6224,7044,7603,8158,7784,7495,5232,3495,2178,1262,489,113,7
Macarthur,12452,12332,11123,11084,11614,12044,12784,11359,10905,9841,10095,9809,8638,7211,4623,2915,1743,967,388,81,3
Mackellar,8871,10358,9579,8870,7513,6821,7992,9409,11345,11275,10701,9429,8371,7932,6829,5099,3620,2668,1479,420,25
Macnamara,8063,6481,5292,6046,13496,22063,21853,15173,12067,10869,9251,8773,7515,6940,4528,3316,2226,1675,879,214,32
Macquarie,8333,9278,9320,9345,8015,7418,7601,8114,9674,10416,10112,10257,9332,8618,6223,4024,2725,1665,762,194,20
Makin,10260,10433,9662,10395,10892,10929,12062,11328,11157,11372,11118,10377,9368,9224,6960,4977,3354,2090,899,202,22
Mallee,8619,9430,9241,9233,7857,8187,7872,7543,8606,9925,10616,11467,10877,10404,8004,6401,4575,3148,1444,333,58
Maranoa,9554,10597,9859,8656,7697,8140,8204,8030,9071,9745,10262,10532,9957,9725,7411,5320,3378,2068,821,214,28
Maribyrnong,9369,8660,8010,8373,11923,14262,14238,12059,11374,11077,9618,8908,7534,6448,4943,4305,3413,2348,1020,230,11
Mayo,8642,10140,10123,9739,7501,6607,7603,8487,10411,11360,11352,11780,11457,11755,8896,5717,3690,2408,1055,274,29
McEwen,10920,10884,10050,9379,8144,8662,9857,9807,10597,10485,9508,8673,7560,6797,4608,2815,1798,1101,439,124,22
McMahon,12032,11814,10559,10789,12110,12436,12523,11657,10805,10602,10518,10038,8458,7244,5128,3803,2654,1647,719,154,10
McPherson,8726,9542,9192,9364,9085,9199,9832,10009,10873,10627,9768,9673,8721,8491,6328,4769,3388,2461,1211,283,26
Melbourne,7116,4814,3874,11787,32605,34492,25499,14858,10092,8745,7540,6785,5859,5062,3452,2430,1805,1188,570,172,26
Menzies,7238,8833,9213,9928,9283,7919,7692,8449,9872,11288,10869,10278,8839,8257,7019,5809,3959,2504,1093,308,61
Migratory - Offshore - Shipping (ACT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Migratory - Offshore - Shipping (NSW),13,11,12,13,9,17,19,7,24,16,36,35,45,64,40,27,20,5,3,0,0
Migratory - Offshore - Shipping (NT),0,0,4,0,4,7,17,7,12,6,7,6,4,0,0,3,0,0,0,0,0
Migratory - Offshore - Shipping (OT),0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Migratory - Offshore - Shipping (Qld),3,0,0,12,6,6,4,9,6,9,12,16,11,17,12,7,7,0,0,0,0
Migratory - Offshore - Shipping (SA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Migratory - Offshore - Shipping (Tas.),0,0,0,0,7,12,15,0,6,9,7,4,5,0,0,0,0,0,0,0,0
Migratory - Offshore - Shipping (Vic.),0,4,0,0,0,0,0,4,3,7,0,0,3,0,0,0,0,0,0,0,0
Migratory - Offshore - Shipping (WA),0,0,0,0,23,49,83,62,63,57,45,26,15,4,0,3,0,0,0,0,0
Mitchell,10154,12079,11206,10376,8952,7487,9417,11646,12545,11474,10063,9037,8013,7377,5596,3566,2262,1432,626,136,6
Monash,7946,8869,8477,8178,6674,6890,7188,7129,8101,9296,9702,10307,10324,10494,7893,5553,3767,2472,947,211,10
Moncrieff,7985,8038,7966,9297,13309,13969,12595,10927,10969,11188,10791,10345,9464,9541,7592,5501,3641,2474,1219,283,31
Moore,7903,9577,9478,9994,9200,7487,7998,8702,10140,10952,10768,10304,8876,7528,4514,2826,2057,1261,549,123,13
Moreton,10147,9664,8498,9866,15547,15413,14191,12028,10882,10159,9338,8538,7379,6490,4744,3519,2507,1915,929,246,24
New England,9298,10182,10248,10008,8922,8512,8437,8026,9129,9553,10143,10773,10126,9590,7712,5850,3892,2520,976,254,35
Newcastle,8993,8826,8124,8806,13563,12286,11172,9887,10027,9820,9736,9645,8373,7095,5440,4045,3154,2409,1263,256,29
Nicholls,9130,9587,9327,9706,7822,8168,8148,7815,8959,9771,10397,10436,10184,9507,7465,5681,4046,2513,1075,197,24
No usual address (ACT),11,22,3,33,78,63,47,61,48,26,48,37,38,19,10,4,4,6,0,0,0
No usual address (NSW),339,242,157,516,1359,1561,1139,959,938,878,920,857,866,781,417,201,82,48,24,6,5
No usual address (NT),79,89,31,31,188,254,208,179,215,227,233,211,225,191,89,32,3,0,0,0,0
No usual address (OT),5,0,0,5,8,0,0,5,6,3,3,0,5,9,3,0,0,0,0,0,0
No usual address (Qld),341,291,200,408,1130,1348,941,737,741,750,913,1081,1297,1253,662,293,85,23,15,0,0
No usual address (SA),89,66,60,170,262,300,254,219,205,240,232,202,203,184,88,40,22,15,3,0,0
No usual address (Tas.),39,18,20,62,91,102,80,84,64,70,71,56,52,61,26,11,3,0,4,0,0
No usual address (Vic.),374,196,179,357,899,988,855,691,599,523,455,422,393,313,174,77,47,28,11,0,0
No usual address (WA),163,136,96,153,503,701,608,450,454,454,509,503,473,440,185,66,28,9,4,3,0
North Sydney,9984,9335,8073,7633,8850,13421,15834,14353,12742,11258,9899,8916,7920,7457,5422,3848,2820,2186,1258,283,26
O'Connor,10028,10887,10133,9204,7823,9360,9818,9244,10105,10978,11305,11424,10110,9048,6412,4621,3031,1816,762,198,12
Oxley,13223,13016,11586,11723,11747,12182,13355,12376,12281,11766,10383,9092,7356,6124,4333,2931,1875,1128,537,128,15
Page,8383,9942,9807,9780,7278,7067,7303,8004,9435,10193,11541,12710,12673,11435,8463,6204,4396,2913,1250,301,41
Parkes,10763,11121,9507,8725,8584,9602,9116,8370,8970,9700,10518,10915,9515,8750,6945,5433,3681,2384,919,208,25
Parramatta,14783,12013,9199,9260,12775,18762,22275,16860,12478,10502,10169,9291,7906,6304,4638,3699,2655,1716,814,192,18
Paterson,10345,10832,9795,9481,9059,9417,9503,9105,9865,9836,10039,9995,9518,9515,7504,5212,3426,2079,890,205,16
Pearce,14391,14198,13067,12246,11766,13893,14339,12822,13542,13375,11534,9420,7776,7142,4963,3483,2116,1131,437,114,4
Perth,8159,7196,6090,6790,11078,16448,16468,12216,10401,9828,9215,8625,7736,6568,4611,3642,2720,2030,1018,220,27
Petrie,11247,11371,10345,9749,9617,9996,11383,11154,11622,11040,10274,9238,8602,8621,6602,4896,3604,2471,1127,280,22
Rankin,14609,14263,12628,12541,12835,13810,14650,13235,12061,11302,10438,9807,8526,7359,4744,2878,1748,1073,535,107,15
Reid,10679,8937,7684,8897,15940,20789,19370,14407,12069,11072,10742,9892,8189,6868,5017,3982,3170,2229,1121,273,28
Richmond,7803,8909,8725,8210,6300,6532,7735,8281,9740,10129,10801,12010,11698,11041,8317,6349,4763,3515,1615,400,37
Riverina,9699,10780,10222,10017,9518,8812,8787,8507,9054,9588,10106,10397,9751,9370,7175,5800,3977,2701,1208,297,35
Robertson,8067,8665,8371,8381,7495,7373,7635,8090,9368,9623,9935,10054,9119,9019,7524,5497,4127,3004,1404,318,24
Ryan,8269,9888,9460,12105,16781,11043,9851,9992,10895,10460,9141,7956,7230,6645,5034,3491,2315,1737,909,238,30
Scullin,11907,10407,9287,9404,11446,12656,14135,12057,10766,10250,9608,8690,7612,6546,4624,3722,2744,1450,540,108,28
Shortland,8428,9123,8708,8881,8002,7355,8173,7992,9007,9741,9678,9890,9168,9049,7627,5742,4073,2603,1019,214,7
Solomon,8291,7334,6402,6009,7399,11047,10874,9080,8021,7653,6775,5990,4914,3703,2166,1393,697,377,132,35,0
Spence,13339,12751,11197,11465,12790,12799,12713,10585,10444,11071,11445,10434,8491,7125,5412,4380,3162,1835,673,98,15
Stirling,9593,8419,7334,7428,9359,13401,14170,10998,10206,9408,8696,8196,7469,6892,5376,4505,3347,2113,871,202,4
Sturt,9045,9663,9664,10738,11092,11144,11195,11031,11395,12049,11432,10810,9724,9681,8034,6617,5048,3755,1852,436,47
Swan,9806,8197,7030,8615,15575,17871,16656,12504,10255,9668,8953,8653,7712,6608,4673,3815,2863,2249,1178,292,22
Sydney,6806,3950,2952,8308,28281,36276,30142,19015,13337,10888,9590,8332,6811,5806,3805,2646,1787,1009,357,84,4
Tangney,6641,8438,8905,9724,9188,7608,7478,8140,9180,9604,9249,9026,8613,7597,5343,4102,3215,2421,1227,314,17
Wannon,8260,9343,9364,9355,7719,7528,7516,7918,9182,10339,10959,11188,10945,10130,7509,5612,3986,2714,1183,274,43
Warringah,9152,10023,8834,7517,6985,9620,11741,11897,12350,11424,10029,8597,6987,6655,5455,3826,2717,2147,1073,296,22
Watson,12541,12105,10563,10891,13062,14815,14681,12651,11351,11042,10895,9623,8028,6516,5109,4255,3245,2239,942,237,14
Wentworth,8142,7693,6545,5772,7974,14726,16127,13092,11110,10010,8464,7550,6475,6673,5081,3815,2777,2147,1331,392,50
Werriwa,12417,13426,13251,13200,12370,11209,12269,12003,12173,11705,11505,10117,7979,6158,4183,3154,1996,1221,469,95,4
Whitlam,9154,10026,9879,10105,8478,8041,8596,8631,9693,9922,10227,10137,9143,9200,7565,5813,4026,2428,1000,201,16
Wide Bay,6973,8572,9177,8059,5997,5736,6308,7122,8674,9791,10526,11284,11269,11553,8837,5803,3652,2164,958,227,37
Wills,9696,8201,6695,6759,12407,17361,16848,13501,10865,9661,8456,7303,5858,5062,4016,4275,3817,2751,1172,227,36
Wright,9525,11596,11791,10953,8751,7985,8889,9638,11473,11951,11593,10374,9194,8623,6081,3760,2251,1269,591,142,18
