INCP Total Personal Income (weekly),"$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$2,000-$2,999 ($104,000-$155,999)","$3,000 or more ($156,000 or more)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)",Negative income,Nil income,Not applicable,Not stated
Adelaide,12216,8376,7579,5194,6638,12384,7115,4868,13157,12831,10896,10936,12053,939,16225,27136,12364
Aston,11923,8082,6531,4296,6528,8693,5659,2288,10238,10099,9658,10147,11587,522,12776,27045,8054
Ballarat,9731,6426,5016,3324,5392,9565,3978,2113,11884,12305,10402,10022,10146,585,8638,28265,10941
Banks,11218,7553,6198,4478,5502,8843,6560,3329,10775,10235,9245,9635,10863,697,15185,27413,8081
Barker,11210,6380,4548,2842,5565,11118,3223,1654,15247,14161,12512,12767,12685,777,8119,30105,12707
Barton,12729,8450,6867,4623,5375,9302,7039,3017,12286,11344,10149,10736,12450,878,18236,27569,11811
Bass,6396,3823,3153,2034,3582,7804,2163,1217,9442,9036,7711,7181,7012,344,5725,18075,7558
Bean,10346,9416,8798,5884,4394,5385,11554,4236,5637,6092,6520,7242,8947,175,7669,26095,7286
Bendigo,9312,6211,4846,2997,5371,9178,3822,1915,11829,11636,10543,10468,10371,448,7674,27175,12295
Bennelong,12214,8756,8009,6043,6311,8577,10350,6135,9035,8933,8609,8691,10223,726,19640,28399,8294
Berowra,9322,7228,6782,5295,6136,6739,10050,7894,7096,7172,7640,7492,8350,428,12840,28000,6673
Blair,11659,7473,5685,3395,5113,9386,3777,1368,11820,11404,10229,10811,11825,656,9791,36575,11404
Blaxland,9939,5793,3987,2415,5932,13271,2859,970,14562,12048,10449,10696,11165,1319,20136,36885,12207
Bonner,10968,7740,7342,5051,5304,7455,7686,4299,8902,8897,8514,8853,10177,473,10783,28889,8303
Boothby,12079,8233,7453,5300,6462,10229,7318,4061,11424,12568,11518,10598,11313,554,10851,25822,9352
Bowman,10911,7407,6501,3992,5227,7921,5730,3100,10642,10376,9532,9752,10704,446,9281,27610,7876
Braddon,6256,3753,3021,1998,3409,7620,1995,941,10696,9845,7907,7301,6828,315,5273,18328,7357
Bradfield,9269,7386,7027,5617,6596,6523,11679,14980,6141,6444,6904,6822,8198,561,16525,31880,7698
Brand,10689,7712,6615,5031,5468,8525,8115,3435,9980,8836,8650,8124,9331,754,13292,36599,12864
Brisbane,12242,9517,9048,6361,4346,6644,11475,10481,6968,8313,8549,8549,10422,652,11055,21310,13771
Bruce,11793,6387,4207,2223,6790,13911,2377,808,15352,12969,10995,13076,13550,1302,18475,32162,12064
Burt,12409,8482,6975,4627,6034,9196,6667,2582,9861,8858,8983,9252,11126,890,15607,36808,10421
Calare,9727,6294,5349,4019,5022,9618,5550,2456,12672,12476,10327,10161,10193,610,8898,32032,15881
Calwell,10109,6101,4179,2514,6608,12879,2798,1005,12498,9931,9119,9905,11068,1178,15127,36943,10443
Canberra,8704,8137,8159,5801,4278,5627,12665,7386,5216,5606,6034,5546,6661,432,8661,18692,9011
Canning,8532,5947,5232,4285,4910,8561,7300,3706,11623,9723,9109,7778,7854,692,11550,28118,11087
Capricornia,9245,6462,5683,4220,4943,8157,7419,3563,9937,9697,8659,8593,8966,640,9664,31494,14898
Casey,11249,7459,5970,3864,5821,8224,4996,2175,9913,10358,9861,10016,11220,569,9751,28451,9326
Chifley,12533,7600,5206,3235,5269,10149,3318,894,11907,10382,9337,11380,13215,982,16024,39229,10593
Chisholm,10730,7524,6587,4970,7739,10271,8165,5080,10984,10347,9770,9403,9951,809,20558,27866,9257
Clark,7332,4924,4093,2783,3717,6534,3622,1998,7436,8204,7414,6922,7232,228,6238,16840,6887
Cook,10217,7742,7113,5124,4514,6013,8032,5966,7601,8215,7957,8255,9228,437,9311,24889,8458
Cooper,11111,8023,6896,4588,5446,10194,6989,4005,11882,10539,8883,9234,10446,593,11631,25390,12281
Corangamite,9181,6385,5368,3459,5194,7878,4318,2484,9704,9594,9692,8796,9106,471,8006,25987,9129
Corio,9760,6348,5063,3484,5700,9569,4666,2516,11894,11973,9941,9580,9991,523,9217,26371,11617
Cowan,10717,7421,6103,4248,5514,8768,6110,2236,9079,8520,8319,8369,9595,773,12487,31331,7939
Cowper,9003,5311,3875,2869,5244,10934,3150,1667,16631,15608,12588,11818,10608,552,7527,27400,14526
Cunningham,9763,6969,6245,4781,5894,10301,6931,3425,12591,12088,9765,8945,9089,540,11333,27152,9571
Curtin,8440,6832,6758,5351,5680,6042,10624,13964,5979,6936,6702,5857,6923,488,11534,25063,9924
Dawson,10259,7000,6205,4128,4820,7902,6420,3132,9963,9749,9724,9819,10451,660,9003,29940,14653
Deakin,11243,8134,6798,4752,6398,8548,6894,2975,9438,10492,9735,9465,10642,514,11299,28301,7837
Dickson,11317,8217,7345,4664,5671,7716,6902,3457,8718,8461,8773,9491,10744,431,9808,32775,6936
Dobell,10083,6344,5122,3403,5219,9022,4210,1895,12869,13101,10915,10563,10739,544,9068,29956,11016
Dunkley,11299,7537,5857,3851,5587,8355,4744,2587,10011,10587,10033,10105,11424,550,9807,28833,10846
Durack,10359,7805,7467,6494,4372,9398,14161,9545,9293,7817,7676,7659,8825,863,9818,37587,22617
Eden-Monaro,10279,7328,6303,4236,4707,7645,6812,3187,10503,10199,9472,9548,10163,471,7287,26633,12751
Fadden,11752,7455,6051,3735,4997,8726,5274,3175,11436,11113,10996,11236,11905,654,11034,31196,12558
Fairfax,9970,6465,5404,3366,5025,8499,4355,2686,11112,11763,11049,10766,10548,506,8332,27286,10399
Farrer,10895,6665,4920,3206,5113,9517,3643,1965,13132,12671,11787,11701,12468,707,8261,31391,15932
Fenner,10620,9473,8848,5902,4232,5330,10937,3348,5256,5245,5905,6819,8407,406,9333,30030,6623
Fisher,9533,6107,5187,3115,5087,8915,4326,2624,12615,12180,11354,10253,10135,508,8150,25947,10083
Flinders,9114,6096,4761,3373,4727,7639,4084,2675,11111,11594,10600,9678,9786,472,7833,23048,10639
Flynn,8384,6001,5210,4217,5085,9205,8018,4223,10619,9724,8472,8385,8249,943,10459,34296,13992
Forde,12466,7750,5891,3489,5121,8761,4152,1668,11203,10817,10361,11865,12585,665,10939,37182,10640
Forrest,9217,6126,5485,4178,4992,7755,6492,3250,10484,9638,9592,9208,9136,626,9480,30447,11663
Fowler,9587,5601,3782,2266,5918,13932,2474,999,15415,12268,9322,10134,10667,1179,17700,31328,11657
Franklin,7307,4841,3963,2579,3592,6025,2937,1235,7783,7888,7234,6709,7196,280,5067,18399,6057
Fraser,10554,6144,4223,2596,6841,14054,2878,1096,14492,11701,9921,11204,11669,1190,17521,29568,12135
Fremantle,10259,7920,7036,5512,4996,7690,9061,5172,8781,8121,7931,7463,8892,662,10818,27764,10660
Gellibrand,11624,8605,7844,5630,5512,8707,9257,5013,9674,9130,8093,8405,10568,750,13290,33437,10296
Gilmore,8795,5361,4228,3004,5140,10353,3652,1893,15799,14281,12071,10588,9643,595,7435,24228,13369
Gippsland,8456,5218,4023,2807,5088,9797,3770,2255,13327,12595,10614,9538,9169,633,8097,25289,13895
Goldstein,8960,6993,6848,4971,5802,6367,9851,12057,6920,7552,7144,6974,8090,478,11869,27761,8991
Gorton,12051,7906,5685,3595,5856,9612,4136,1382,9966,8835,9154,10406,12029,942,14414,40900,11529
Grayndler,10781,8840,8332,6445,3574,6010,12269,10349,7325,7676,6992,7342,9129,475,8694,23311,11976
Greenway,12963,9244,7762,5570,5521,7811,8057,2656,8798,8353,8158,9362,11758,637,15860,38566,8998
Grey,9971,6423,5566,3811,5421,12512,4656,2071,16357,14598,11550,10706,10384,673,8639,30739,14978
Griffith,11430,8965,8407,6088,4303,6589,10297,7790,7306,8105,7959,8021,9813,487,9691,23927,10541
Groom,10401,6674,5812,3631,4986,8041,4502,2133,10610,10699,10138,10476,10580,559,8192,30474,10953
Hasluck,10317,7139,6106,4213,5081,7758,6551,3270,9051,8509,8052,7843,9003,687,11585,27090,11352
Herbert,11701,8679,6948,4176,5443,9735,5267,2134,9715,9869,9589,9990,11206,553,9693,32852,12448
Higgins,11355,9033,8531,6201,5259,6854,11498,12794,7077,7345,7098,7473,9312,578,13472,23260,11165
Hindmarsh,11772,7732,6407,4273,5958,10821,5366,2495,13555,13381,11082,10840,12158,714,10296,24829,9081
Hinkler,7766,4305,3683,2094,4723,11089,2366,1351,17228,14303,11336,9675,8657,561,7621,24811,11567
Holt,12584,7726,5261,3166,5754,8561,3420,1122,9005,8509,9428,11713,13399,934,14788,40455,9835
Hotham,11295,7521,6264,4320,7053,11241,6517,3269,12876,11586,10430,10232,11303,1014,21414,28211,10326
Hughes,11051,8166,7661,5709,5241,6353,8774,4428,7363,7882,7791,8044,9560,400,9591,29925,6358
Hume,11048,7491,6480,4761,4821,7435,6135,2469,9676,9385,8984,9551,10372,508,9311,31465,10748
Hunter,9594,5996,5032,3707,5143,9506,6114,2539,13152,12591,10488,10037,9737,518,9765,30658,12233
Indi,9854,6321,4469,2899,4758,8795,3063,1483,12344,12097,10874,10551,10975,586,7136,25765,12396
Isaacs,10894,7930,6912,4908,5548,7742,7080,3672,9082,9435,8817,9012,10209,521,11102,27984,9479
Jagajaga,10328,7808,7098,5028,5949,7658,7532,4515,8535,8908,8498,8271,9472,491,10523,26629,8194
Kennedy,9705,6225,5216,3462,5022,10225,5204,2004,12632,11907,10777,10843,10714,901,8682,34204,16572
Kingsford Smith,12455,9532,8552,6454,5098,8011,10594,7613,9386,9592,8892,8813,10613,810,17870,26669,15291
Kingston,12324,7460,5585,3291,6060,10526,3603,1122,13129,12551,11621,11093,12587,511,9827,29311,8220
Kooyong,9899,7684,7519,5385,6578,7154,10242,13084,6589,6941,7322,7172,8591,547,15058,25881,9279
La Trobe,11363,7575,5691,3809,5513,7380,4902,2158,8375,8360,8767,9463,11146,594,11730,34177,8055
Lalor,13103,8237,6044,3828,5945,9537,4770,1540,9207,8677,9253,10930,13216,941,16255,42438,11066
Leichhardt,11133,7167,6189,3945,4800,10303,5197,2559,10250,10701,10900,11197,12050,666,9372,34349,16713
Lilley,11781,8765,7800,5074,4752,7289,7612,3503,8883,9947,9266,9523,11031,479,8946,26513,9010
Lindsay,13507,8977,7091,4777,4898,8094,5585,1904,10289,10192,9319,10466,12630,619,11249,35327,11585
Lingiari,6749,5483,4728,3511,4761,11876,5282,2315,4891,4030,4370,4542,5550,340,5508,27693,18766
Longman,10642,6504,5042,3026,5527,10153,3541,1471,13834,11940,11366,11111,11321,564,9733,32937,11876
Lyne,7669,4498,3430,2497,4970,10812,3080,1682,16744,14796,11749,10181,9021,558,7703,23935,12144
Lyons,6483,3669,2799,1628,3344,7497,1553,843,10640,9457,7815,7423,7230,336,5304,18528,7664
Macarthur,12304,8140,6136,3898,5143,8695,4601,1468,10628,9607,9235,10716,12447,605,13068,35903,9426
Mackellar,10591,7873,7001,4886,5208,6076,8941,8608,7050,8004,8417,8636,9731,430,9208,28813,9161
Macnamara,13175,10791,10129,7339,3826,6177,13357,12593,6847,7623,7288,7968,10802,549,11640,19761,17259
Macquarie,10160,7259,6384,4781,4909,7291,6375,2573,8832,9774,9223,8899,9792,474,8883,26930,8885
Makin,12814,7857,6171,3784,6488,10905,4268,1189,13684,12481,11468,11430,13094,616,11816,30332,8645
Mallee,9151,5171,3776,2215,5334,10328,2293,1361,14955,14485,11725,11360,11042,949,7830,27290,14533
Maranoa,9259,5482,4308,2620,4675,9400,3495,1860,13353,12401,10428,10114,10054,1001,7125,30010,13683
Maribyrnong,11290,8605,7291,5181,5628,9144,8260,5221,10230,9380,8527,8658,10239,662,11840,25973,11658
Mayo,10807,6929,5855,4085,6052,9753,5259,2882,12978,12482,11661,10814,10773,537,9059,28855,10214
McEwen,10569,7520,6056,3996,5155,6844,5311,2493,7899,8096,8228,8624,9927,500,10023,31908,8990
McMahon,11006,7113,5280,3169,5819,12330,3794,1213,13844,11063,9299,10014,11582,1041,14992,34402,9728
McPherson,10821,7086,6023,3824,5234,8087,4915,2830,10560,11055,10662,10524,11290,501,9459,27462,11257
Melbourne,13461,11283,10021,6993,5895,10303,12030,8787,9716,9473,9351,8859,11133,1157,24599,15834,20112
Menzies,9540,7085,6450,4676,6703,8425,7648,5919,9079,8780,8829,8215,9123,618,14429,25292,7932
Migratory - Offshore - Shipping (ACT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Migratory - Offshore - Shipping (NSW),10,7,15,3,9,32,13,3,43,31,37,43,25,0,19,39,77
Migratory - Offshore - Shipping (NT),0,11,3,0,6,10,4,0,6,3,0,0,0,3,0,4,22
Migratory - Offshore - Shipping (OT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Migratory - Offshore - Shipping (Qld),8,4,4,4,6,13,8,7,14,14,12,11,9,0,9,9,27
Migratory - Offshore - Shipping (SA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Migratory - Offshore - Shipping (Tas.),11,0,10,9,0,0,11,0,5,8,8,4,3,0,3,0,7
Migratory - Offshore - Shipping (Vic.),0,0,0,0,0,0,7,10,0,0,0,0,0,0,0,4,3
Migratory - Offshore - Shipping (WA),17,12,28,24,0,4,94,141,4,7,0,0,10,6,0,0,83
Mitchell,10361,8040,7711,5999,5955,6751,11008,6292,7081,6940,7571,7557,8717,453,13959,33442,5623
Monash,8348,5219,3933,2585,5025,9408,3148,1737,12906,12500,10797,9712,9294,533,7880,25415,12037
Moncrieff,12090,7369,6013,3797,4947,9404,4973,3736,12071,12775,12537,12386,12877,764,11102,23971,16237
Moore,9543,7414,6811,5446,6030,6844,9382,5968,7353,7232,7700,7184,8046,453,11415,26960,6472
Moreton,11160,7779,6853,4578,6093,9790,6855,4227,10255,10019,9820,9462,10679,782,15906,28312,9420
New England,9384,5243,4199,2960,4947,10146,3962,1782,13373,12796,10814,11110,10861,807,7957,29732,14109
Newcastle,10714,7583,6519,4618,5191,9700,6980,3743,11480,11503,9928,9529,10282,460,9156,25948,9624
Nicholls,9863,5796,4204,2612,5318,9268,2807,1443,13210,12452,11059,10658,10707,778,8050,28010,14219
No usual address (ACT),26,17,18,9,18,67,13,9,44,38,31,28,33,0,57,37,91
No usual address (NSW),536,272,215,134,360,1548,210,109,1326,1047,704,682,668,96,1141,741,2492
No usual address (NT),88,72,55,28,56,241,55,38,310,233,134,148,128,9,134,204,545
No usual address (OT),3,0,0,0,0,4,0,0,0,6,7,3,0,6,9,9,6
No usual address (Qld),535,266,236,118,401,1472,182,109,1606,1096,793,811,641,129,1020,824,2273
No usual address (SA),123,49,38,28,126,505,40,22,307,245,203,157,130,22,249,217,398
No usual address (Tas.),35,21,8,7,36,156,21,8,100,98,54,50,38,0,68,81,135
No usual address (Vic.),333,185,123,88,308,1022,127,76,687,659,422,383,361,54,704,747,1284
No usual address (WA),264,156,154,129,213,820,242,150,558,411,312,300,295,48,502,393,1010
North Sydney,10610,8993,9025,7286,4523,5069,15192,17794,5496,5935,6242,6502,8110,562,12451,27395,10344
O'Connor,9334,6510,5946,4651,4723,8604,7799,3264,11159,10247,9169,9082,9139,750,8970,31046,15927
Oxley,11551,7849,6563,4072,5619,9562,5404,2306,9591,9035,9007,10265,11727,745,12687,37840,13355
Page,8769,4828,3769,2544,5303,11632,2750,1368,16615,15743,12573,11861,10950,685,7997,28125,13596
Parkes,9307,5771,4717,3515,4202,9418,4354,2180,12448,11722,10068,10076,10041,905,7294,31393,16354
Parramatta,13107,9278,7610,5532,5857,10613,7635,2503,11573,10629,9349,10356,12490,963,20357,35998,12482
Paterson,9906,6300,5163,3511,5214,9669,4877,1969,13694,12613,10757,10315,10445,476,9036,30967,10722
Pearce,12843,9191,7908,5546,5933,8687,8223,3738,9750,8812,9425,9497,11313,860,14491,41654,13879
Perth,10581,8448,7790,5749,4550,7428,10602,7056,8783,8771,7895,7774,9136,687,10825,21447,13574
Petrie,12139,7922,6494,3948,5143,8417,5358,2379,11492,11685,10834,11022,12028,573,10202,32964,10665
Rankin,12920,8043,5854,3489,5892,10753,3858,1377,11265,10681,10602,12456,13842,915,14977,41498,10734
Reid,13142,9317,8596,6278,5195,8154,10943,7876,9758,9361,9081,9511,11393,1003,20418,27300,14015
Richmond,9351,5394,4279,2945,4998,9243,3482,2206,14447,14550,12694,11048,10483,472,7320,25434,14571
Riverina,9921,6116,4740,3385,4814,9186,3876,2010,12961,12357,11188,11110,11258,631,7809,30697,13729
Robertson,9497,6304,5534,4036,5028,7987,5463,2841,11228,11838,10193,9370,9772,439,8837,25101,9635
Ryan,9973,7923,7732,5573,6550,8296,9913,8406,7289,7563,8330,7285,8420,487,14074,27618,8030
Scullin,11088,6940,4823,2844,5969,11206,3211,1020,12488,9923,9269,10608,11760,885,14735,31597,9412
Shortland,9766,6070,5207,3748,5007,8397,5134,2422,13369,12494,10446,9527,9787,420,8375,26267,8036
Solomon,9015,7104,6355,4926,2296,3281,7532,4172,3794,3787,4248,5088,6992,423,6447,22013,10826
Spence,11210,6078,3919,2301,6152,14063,2183,667,15322,13802,11698,12023,12839,610,11066,37382,11089
Stirling,10765,7808,6558,4749,4843,8343,7855,4728,9664,9261,8375,8450,9500,680,10964,25340,10121
Sturt,12353,8487,7550,5476,6759,10465,7649,5759,12555,12675,10993,10332,11736,642,14087,28359,8610
Swan,11713,8367,7180,5236,5060,8788,8792,5468,9429,9812,8883,8607,10412,911,14765,25033,14740
Sydney,14604,11907,11631,8635,4158,8161,16902,12951,10213,10468,9352,9315,11851,1087,19857,13707,25384
Tangney,8386,6467,6071,4776,6287,7350,8640,6850,7479,7489,7367,6901,7478,552,12965,23980,7000
Wannon,9895,5766,4344,2835,5628,9827,3050,1745,13023,12946,11452,10818,10936,812,7363,26968,13571
Warringah,9639,7798,7652,5845,4385,4697,12085,16169,5086,5816,6229,6553,7962,400,9309,28008,9692
Watson,10548,6451,4734,3184,6028,12183,4203,1890,13804,12410,10440,10586,11129,1100,19855,35210,11065
Wentworth,9742,8392,8389,6406,3102,3771,12985,17767,4494,5137,5574,5983,7614,492,8581,22384,15132
Werriwa,11514,7327,5493,3424,5781,10930,3949,1413,12216,9710,9078,10399,11835,823,16961,39092,10969
Whitlam,9684,6186,5193,3792,5351,9040,4945,2167,13751,12217,10632,9985,10068,543,10019,29065,9640
Wide Bay,7768,4599,3860,2289,4883,10497,2773,1836,15388,13809,11045,9790,8877,591,7668,24716,12282
Wills,11403,8330,7096,4841,4901,9626,7052,3188,11574,10864,9227,9032,10444,587,11400,24559,10829
Wright,10577,6931,5951,3444,5369,8906,4306,1950,11484,10663,10010,10450,10688,604,9954,32906,12252
